Scenario,urn,accyr,LAName,Age
EnteringLeftCar,2012201205EE03050,2012,Merseyside,47
EnteringLeftCar,2010160C06701,2010,East Riding of Yorkshire,48
EnteringLeftCar,2.01E+12,2005,Kent,49
EnteringLeftCar,201043P202100,2010,Oxfordshire,50
EnteringLeftCar,2.01E+12,2006,South Gloucestershire,51
EnteringLeftCar,201006B039122,2010,Manchester,51
EnteringLeftCar,2.01E+16,2011,Cheshire West and Chester,51
EnteringLeftCar,2.01E+12,2005,Hampshire,52
EnteringLeftCar,2008160D01140,2008,Kingston Upon Hull,52
EnteringLeftCar,2.01E+16,2012,Warrington,52
EnteringLeftCar,2.01E+12,2006,Portsmouth,53
EnteringLeftCar,2012201201KF60208,2012,London,53
EnteringLeftCar,200542C037807,2005,Essex,55
EnteringLeftCar,200822DA88527,2008,Worcestershire,55
EnteringLeftCar,20103102C2345,2010,Nottingham,57
EnteringLeftCar,200505FF03727,2005,Merseyside,58
EnteringLeftCar,2.01E+12,2007,Warrington,58
EnteringLeftCar,2.01E+16,2012,Leicestershire,59
EnteringLeftCar,2.01E+16,2012,Kent,60
EnteringLeftCar,201020K009480,2010,Sandwell,61
EnteringLeftCar,2012201231D261312,2012,Nottinghamshire,61
EnteringLeftCar,201005AA01893,2010,Merseyside,64
EnteringLeftCar,200534NW03241,2005,Northamptonshire,71
EnteringLeftCar,200506M921949,2005,Trafford,72
EnteringLeftCar,2006160D08900,2006,Kingston Upon Hull,72
EnteringLeftCar,200943P326019,2009,Oxfordshire,72
EnteringLeftCar,200520D365802,2005,Birmingham,73
